orden,DELITO,ART. CP,TIPO DE PENA,AÑOS PENA,VALORACIÓN ASIGNADA
,Delitos contra la libertad - trata de personas con fines de explotación calificado,145 ter inc 7 ii,Prisión,10a - 15a,700
,Delitos contra la seguridad pública - Incendio calificado,186 inc. 5°,Reclusión o Prisión,8a - 20a,700
,Delitos contra la libertad - Privación ilegal de la libertad por funcionario público calificada,144 ter,Reclusión o Prisión e Inhabilitación Absoluta y Perpetua,8a - 25a,700
,Trata de personas con fines de explotación calificado (cuando la víctima es menor de 18 años,art145,Prisión,10a - 15a,700
245,Delitos contra las personas (dolosos) - Duelo irregular,98,Prisión,1a - 6a / 8a - 25a,600
360,Delitos contra el orden público - Asociación ilícita agravada,210,Reclusión o Prisión,3a - 10a,600
534,Delitos contra el orden económico y financiero,309-303,Prisión y Multa,1a - 4a / 2a - 6a,600
249,Delitos contra las personas (dolosos) - Abandono de parientes y conyuge,107,Prisión,6a - 20a,560
26,Delitos contra las personas (dolosos) - Aborto con consentimiento seguido de muerte,85,Prisión,3a - 15a,550
32,Delitos contra las personas (dolosos) - Lesiones gravísimas calificadas,92,Reclusión o Prisión,3a - 15a,550
63,Delitos contra la integridad sexual - Promoción o facilitación de la prostitución calificada,125,Reclusión o Prisión,10a - 15a,550
208,Delitos previstos por Leyes Especiales y Decretos Ley - Ley N° 20.974 Potencial humano,31,Prisión,5a - 10a,550
110,Delitos contra la seguridad pública - Incendio calificado,186 incs. 3° y 4° ,Reclusión o Prisión,3a - 15a,525
115,"Delitos contra la seguridad pública - Naufragio, varamiento o desastre aéreo calificado","190, 2do. y 3er. párrs.",Reclusión o Prisión,6a - 15a,525
119,Delitos contra la seguridad pública - Piratería,198,Reclusión o Prisión,3a - 15a,525
122,Delitos contra la seguridad pública - Propagación de una enfermedad peligrosa y contagiosa,202,Reclusión o Prisión,3a - 15a,525
138,Delitos contra la seguridad de la Nación - Provocación de hostilidades o de enemistad internacional,219,Reclusión o Prisión,3a - 15a,525
139,Delitos contra los poderes públicos y el orden constitucional - Atentado contra la vida democrática o la independencia económica de la Nación,226,Prisión,5a - 15a,525
189,"Delitos contra la fé pública - Falsificación de moneda, billetes de banco, títulos al portador y documentos de crédito",282,Reclusión o Prisión,3a - 15a,525
226,Delitos previstos por Leyes de Estupefacientes - Ley Nº 23.737 de Estupefacientes - Comercialización,5,Prisión,4a - 15a,525
248,Delitos contra las personas (dolosos) - Abandono de persona seguido de muerte,106 3er párrafo,Reclusión o Prisión,5a - 15a,525
263,"Delitos contra la libertad - Sustracción, retención u ocultamiento de persona",142 bis,Prisión,5a - 15a,525
265,Delitos contra la libertad - Desaparición de menor por su guardador,147,Prisión,5a - 15a,525
286,Delitos contra la propiedad - Robo calificado - Robo calificado por lesiones,166,Prisión,5a - 15a,525
287,"Delitos contra la propiedad - Robo calificado - Robo con arma, en despoblado y en banda",166 inc 2,Prisión,5a - 15a,525
288,Delitos contra la propiedad - Robo agravado,167,Prisión,3a - 10a,525
333,"Delitos contra la seguridad pública - Incendio, explosión e inundación - Incendio, explosión e inundación con peligro para bienes determinados (bienes públicos, arsenal,astillero, etc.)",art. 186 inc. 3,Reclusión o Prisión,3a - 15a,525
334,"Delitos contra la seguridad pública - Incendio, explosión e inundación - Incendio, explosión e inundación con peligro de muerte",art. 186 inc. 4,Reclusión o Prisión,3a - 15a,525
343,Delitos contra la seguridad pública - Piratería - Piratería naval,198 inc a,Reclusión o Prisión,3a - 15a,525
344,Delitos contra la seguridad pública - Piratería - Piratería aérea,198 inc b,Reclusión o Prisión,3a - 15a,525
345,Delitos contra la seguridad pública - Piratería - Usurpación de comando,198 inc c,Reclusión o Prisión,3a - 15a,525
346,Delitos contra la seguridad pública - Piratería - Connivencia con piratas,198 inc d,Reclusión o Prisión,3a - 15a,525
347,Delitos contra la seguridad pública - Piratería - Oposición a la defensa contra piratas, 198 inc e,Reclusión o Prisión,3a - 15a,525
348,Delitos contra la seguridad pública - Piratería - Equipamiento de barco o aeronave pirata,198 inc f,Reclusión o Prisión,3a - 15a,525
349,Delitos contra la seguridad pública - Piratería - Tráfico y auxilio a aeronave pirata,198 inc g,Reclusión o Prisión,3a - 15a,525
381,Delitos contra la fé pública - Falsificación o adulteración de documentos - Uso de documento falsificado o adulterado,282,Reclusión o Prisión,3a - 15a,525
437,Delitos contra la integridad sexual - Violación calificada,119,Reclusión o Prisión,6a - 15a,525
444,Delitos contra las personas (dolosos) - Aborto - Aborto sin consentimiento seguido de muerte,85 inc 1,Prisión,3a - 15a,525
478,Otros - violacion,119,Reclusión o Prisión,6a - 15a,525
551,"Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 a) Siembra, cultivo de plantas o  semillas, materia prima o elementos para la producción de estupefacientes",art. 5,Prisión y Multa,4a - 15a,525
552,"Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 b) Producción, fabricación, extracción o preparación de estupefacientes",art. 5,Prisión y Multa,4a - 15a,525
562,"Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 c) Comercio con estupefacientes o materias primas para su producción o fabricación o los tenga con fines de comercialización, distribución, almacenamiento o transporte o dé en pago",art. 5,Prisión y Multa,4a - 15a,525
563,"Delitos previstos por Leyes de Estupefacientes - Ley N° 23.737 d) Comercio, distribución, almacenamiento transporte o dé en pago plantas o sus semillas para producción de estupefacientes",art. 5,Prisión y Multa,4a - 15a,525
585,Delitos contra la integridad sexual - Abuso sexual agravado por acceso carnal,art. 119,Reclusión o Prisión,6a - 15a,525
592,"Delitos contra la integridad sexual - Abuso sexual cometido contra un menor de 18 años, aprovechando la situación de convivencia preexistente con el mismo.",art. 119,Reclusión o Prisión,6a - 15a,525
627,Delitos previstos por Leyes Especiales y Decretos Ley - Ley 17.285 Código Aeronáutico,217,Prisión,3a - 15a,525
,Delitos contra la administración pública - Prevaricato,"269, 2do. párr.",Reclusión o Prisión,3a - 15a,525
,Delitos contra la libertad - trata de personas con fines de explotación calificado,145 ter inc 7 i,Prisión,8a - 12a,525
,Delitos contra las personas (dolosos) - Abandono de persona calificado (muerte),106,Reclusión o Prisión,5a -15a,510
97,Delitos contra la propiedad - Secuestro extorsivo,170,Reclusión o Prisión,5a - 15a,510
113,Delitos contra la seguridad pública - Fabricación o tenencia de materiales peligrosos,189 bis,Reclusión o Prisión,5a - 15a,510
53,Delitos contra la integridad sexual - Violación agravada,119,Reclusión o Prisión,4a - 10a,500
74,Delitos contra la libertad - Reducción a servidumbre o condición análoga,140,Reclusión o Prisión,4a - 15a,500
79,"Delitos contra la libertad - Sustración, retención, ocultamiento de menores, desaparición o retención ilegal",146-147,Reclusión o Prisión,5a - 15a,500
111,Delitos contra la seguridad pública - Estragos,187,Reclusión o Prisión,3a - 10a,500
128,Delitos contra el orden público - Asociación ilícita,210,Reclusión o Prisión,3a - 10a,500
131,Delitos contra el orden público - Intimidación pública calificada,"211, 2do. párr. ",Prisión,3a - 10a,500
167,Delitos contra la administración pública - Cohecho calificado,257,Reclusión o Prisión,4a - 12a,500
206,Delitos previstos por Leyes Especiales y Decretos Ley - Ley N° 14.878 Impuesto vitivinícola,31,Prisión,3a - 10a,500
